
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"January","2012","Friday","6:00 to 8:59","Injury collisions",273,475,350,0
"January","2012","Friday","9:00 to 11:59","Fatal collisions",4,8,3,4
"January","2012","Friday","9:00 to 11:59","Injury collisions",275,501,362,0
"January","2012","Friday","12:00 to 14:59","Fatal collisions",4,10,7,4
"January","2012","Friday","12:00 to 14:59","Injury collisions",320,578,439,0
"January","2012","Friday","15:00 to 17:59","Fatal collisions",3,5,3,3
"January","2012","Friday","15:00 to 17:59","Injury collisions",396,753,528,0
"January","2012","Friday","18:00 to 20:59","Fatal collisions",3,3,0,3
"January","2012","Friday","18:00 to 20:59","Injury collisions",235,426,330,0
"January","2012","Friday","21:00 to 23:59","Fatal collisions",1,1,0,2
"January","2012","Friday","21:00 to 23:59","Injury collisions",157,256,222,0
"January","2012","Saturday","Midnight to 2:59","Fatal collisions",4,7,0,4
"January","2012","Saturday","Midnight to 2:59","Injury collisions",78,117,109,0
"January","2012","Saturday","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2012","Saturday","3:00 to 5:59","Injury collisions",44,60,59,0
"January","2012","Saturday","6:00 to 8:59","Fatal collisions",0,0,0,0
"January","2012","Saturday","6:00 to 8:59","Injury collisions",94,130,117,0
"January","2012","Saturday","9:00 to 11:59","Fatal collisions",1,1,0,1
"January","2012","Saturday","9:00 to 11:59","Injury collisions",203,328,283,0
"January","2012","Saturday","12:00 to 14:59","Fatal collisions",2,4,5,3
"January","2012","Saturday","12:00 to 14:59","Injury collisions",295,556,431,0
"January","2012","Saturday","15:00 to 17:59","Fatal collisions",2,3,2,2
"January","2012","Saturday","15:00 to 17:59","Injury collisions",327,580,470,0
"January","2012","Saturday","18:00 to 20:59","Fatal collisions",1,2,2,1
"January","2012","Saturday","18:00 to 20:59","Injury collisions",204,367,292,0
"January","2012","Saturday","21:00 to 23:59","Fatal collisions",2,4,3,3
"January","2012","Saturday","21:00 to 23:59","Injury collisions",108,165,164,0
"January","2012","Sunday","Midnight to 2:59","Fatal collisions",4,6,2,4
"January","2012","Sunday","Midnight to 2:59","Injury collisions",107,164,162,0
"January","2012","Sunday","3:00 to 5:59","Fatal collisions",3,5,4,4
"January","2012","Sunday","3:00 to 5:59","Injury collisions",78,106,91,0
"January","2012","Sunday","6:00 to 8:59","Fatal collisions",1,1,0,1
"January","2012","Sunday","6:00 to 8:59","Injury collisions",89,139,108,0
"January","2012","Sunday","9:00 to 11:59","Fatal collisions",0,0,0,0
"January","2012","Sunday","9:00 to 11:59","Injury collisions",145,244,218,0
"January","2012","Sunday","12:00 to 14:59","Fatal collisions",2,3,1,2
"January","2012","Sunday","12:00 to 14:59","Injury collisions",212,367,298,0
"January","2012","Sunday","15:00 to 17:59","Fatal collisions",3,5,5,4
"January","2012","Sunday","15:00 to 17:59","Injury collisions",208,374,327,0
"January","2012","Sunday","18:00 to 20:59","Fatal collisions",4,5,2,4
"January","2012","Sunday","18:00 to 20:59","Injury collisions",150,237,222,0
"January","2012","Sunday","21:00 to 23:59","Fatal collisions",1,1,0,1
"January","2012","Sunday","21:00 to 23:59","Injury collisions",84,130,118,0
"January","2012","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"January","2012","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"January","2012","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"January","2012","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"January","2012","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"January","2012","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","15:00 to 17:59","Injury collisions",1,1,1,0
"January","2012","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"January","2012","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"January","2012","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"January","2013","Total","Midnight to 2:59","Fatal collisions",10,11,10,10
"January","2013","Total","Midnight to 2:59","Injury collisions",315,442,414,0
"January","2013","Total","3:00 to 5:59","Fatal collisions",8,17,18,8
"January","2013","Total","3:00 to 5:59","Injury collisions",268,401,330,0
"January","2013","Total","6:00 to 8:59","Fatal collisions",19,27,11,20
"January","2013","Total","6:00 to 8:59","Injury collisions",1491,2627,1878,0
"January","2013","Total","9:00 to 11:59","Fatal collisions",15,28,14,16
"January","2013","Total","9:00 to 11:59","Injury collisions",1654,2926,2187,0
"January","2013","Total","12:00 to 14:59","Fatal collisions",27,67,42,32
"January","2013","Total","12:00 to 14:59","Injury collisions",1992,3731,2720,0
"January","2013","Total","15:00 to 17:59","Fatal collisions",24,44,29,25
"January","2013","Total","15:00 to 17:59","Injury collisions",2464,4725,3373,0
"January","2013","Total","18:00 to 20:59","Fatal collisions",18,30,18,19
"January","2013","Total","18:00 to 20:59","Injury collisions",1430,2476,1975,0
"January","2013","Total","21:00 to 23:59","Fatal collisions",9,18,6,9
"January","2013","Total","21:00 to 23:59","Injury collisions",641,1024,891,0
"January","2013","Monday","Midnight to 2:59","Fatal collisions",1,1,0,1
"January","2013","Monday","Midnight to 2:59","Injury collisions",23,29,29,0
"January","2013","Monday","3:00 to 5:59","Fatal collisions",2,2,0,2
"January","2013","Monday","3:00 to 5:59","Injury collisions",17,26,20,0
"January","2013","Monday","6:00 to 8:59","Fatal collisions",3,4,1,3
"January","2013","Monday","6:00 to 8:59","Injury collisions",271,491,346,0
"January","2013","Monday","9:00 to 11:59","Fatal collisions",3,7,3,3
"January","2013","Monday","9:00 to 11:59","Injury collisions",251,443,318,0
"January","2013","Monday","12:00 to 14:59","Fatal collisions",6,15,3,7
"January","2013","Monday","12:00 to 14:59","Injury collisions",240,429,311,0
"January","2013","Monday","15:00 to 17:59","Fatal collisions",2,4,2,2
"January","2013","Monday","15:00 to 17:59","Injury collisions",323,596,428,0
"January","2013","Monday","18:00 to 20:59","Fatal collisions",2,3,3,2
"January","2013","Monday","18:00 to 20:59","Injury collisions",192,322,240,0
"January","2013","Monday","21:00 to 23:59","Fatal collisions",1,1,0,1
"January","2013","Monday","21:00 to 23:59","Injury collisions",63,89,83,0
"January","2013","Tuesday","Midnight to 2:59","Fatal collisions",1,1,4,1
"January","2013","Tuesday","Midnight to 2:59","Injury collisions",44,66,54,0
"January","2013","Tuesday","3:00 to 5:59","Fatal collisions",2,3,9,2
"January","2013","Tuesday","3:00 to 5:59","Injury collisions",51,81,68,0
"January","2013","Tuesday","6:00 to 8:59","Fatal collisions",4,5,2,4
"January","2013","Tuesday","6:00 to 8:59","Injury collisions",258,438,332,0
"January","2013","Tuesday","9:00 to 11:59","Fatal collisions",1,3,0,1
"January","2013","Tuesday","9:00 to 11:59","Injury collisions",249,444,335,0
"January","2013","Tuesday","12:00 to 14:59","Fatal collisions",2,2,0,2
"January","2013","Tuesday","12:00 to 14:59","Injury collisions",271,482,349,0
"January","2013","Tuesday","15:00 to 17:59","Fatal collisions",11,22,17,11
"January","2013","Tuesday","15:00 to 17:59","Injury collisions",395,729,535,0
"January","2013","Tuesday","18:00 to 20:59","Fatal collisions",1,2,2,2
"January","2013","Tuesday","18:00 to 20:59","Injury collisions",221,370,293,0
"January","2013","Tuesday","21:00 to 23:59","Fatal collisions",3,6,2,3
"January","2013","Tuesday","21:00 to 23:59","Injury collisions",75,120,94,0
"January","2013","Wednesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2013","Wednesday","Midnight to 2:59","Injury collisions",31,39,34,0
"January","2013","Wednesday","3:00 to 5:59","Fatal collisions",2,3,1,2
"January","2013","Wednesday","3:00 to 5:59","Injury collisions",39,56,43,0
"January","2013","Wednesday","6:00 to 8:59","Fatal collisions",4,8,5,4
"January","2013","Wednesday","6:00 to 8:59","Injury collisions",293,522,375,0
"January","2013","Wednesday","9:00 to 11:59","Fatal collisions",4,8,5,5
"January","2013","Wednesday","9:00 to 11:59","Injury collisions",273,485,356,0
"January","2013","Wednesday","12:00 to 14:59","Fatal collisions",3,4,2,6
"January","2013","Wednesday","12:00 to 14:59","Injury collisions",331,587,441,0
"January","2013","Wednesday","15:00 to 17:59","Fatal collisions",1,1,0,1
"January","2013","Wednesday","15:00 to 17:59","Injury collisions",369,738,506,0
"January","2013","Wednesday","18:00 to 20:59","Fatal collisions",3,5,5,3
"January","2013","Wednesday","18:00 to 20:59","Injury collisions",217,376,298,0
"January","2013","Wednesday","21:00 to 23:59","Fatal collisions",1,3,2,1
"January","2013","Wednesday","21:00 to 23:59","Injury collisions",90,138,125,0
"January","2013","Thursday","Midnight to 2:59","Fatal collisions",1,1,0,1
"January","2013","Thursday","Midnight to 2:59","Injury collisions",44,61,60,0
"January","2013","Thursday","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2013","Thursday","3:00 to 5:59","Injury collisions",28,38,32,0
"January","2013","Thursday","6:00 to 8:59","Fatal collisions",4,4,0,4
"January","2013","Thursday","6:00 to 8:59","Injury collisions",263,489,323,0
"January","2013","Thursday","9:00 to 11:59","Fatal collisions",3,3,0,3
"January","2013","Thursday","9:00 to 11:59","Injury collisions",294,530,380,0
"January","2013","Thursday","12:00 to 14:59","Fatal collisions",4,13,13,4
"January","2013","Thursday","12:00 to 14:59","Injury collisions",332,622,441,0
"January","2013","Thursday","15:00 to 17:59","Fatal collisions",3,7,4,3
"January","2013","Thursday","15:00 to 17:59","Injury collisions",453,853,594,0
"January","2013","Thursday","18:00 to 20:59","Fatal collisions",6,11,4,6
"January","2013","Thursday","18:00 to 20:59","Injury collisions",259,482,356,0
"January","2013","Thursday","21:00 to 23:59","Fatal collisions",2,4,0,2
"January","2013","Thursday","21:00 to 23:59","Injury collisions",115,209,161,0
"January","2013","Friday","Midnight to 2:59","Fatal collisions",2,3,1,2
"January","2013","Friday","Midnight to 2:59","Injury collisions",40,54,50,0
"January","2013","Friday","3:00 to 5:59","Fatal collisions",1,8,7,1
"January","2013","Friday","3:00 to 5:59","Injury collisions",35,55,40,0
"January","2013","Friday","6:00 to 8:59","Fatal collisions",1,2,1,2
"January","2013","Friday","6:00 to 8:59","Injury collisions",252,469,322,0
"January","2013","Friday","9:00 to 11:59","Fatal collisions",1,2,1,1
"January","2013","Friday","9:00 to 11:59","Injury collisions",257,460,329,0
"January","2013","Friday","12:00 to 14:59","Fatal collisions",4,6,1,4
"January","2013","Friday","12:00 to 14:59","Injury collisions",322,598,421,0
"January","2013","Friday","15:00 to 17:59","Fatal collisions",4,6,1,5
"January","2013","Friday","15:00 to 17:59","Injury collisions",422,877,600,0
"January","2013","Friday","18:00 to 20:59","Fatal collisions",1,2,1,1
"January","2013","Friday","18:00 to 20:59","Injury collisions",244,436,347,0
"January","2013","Friday","21:00 to 23:59","Fatal collisions",1,2,2,1
"January","2013","Friday","21:00 to 23:59","Injury collisions",131,209,182,0
"January","2013","Saturday","Midnight to 2:59","Fatal collisions",1,1,1,1
"January","2013","Saturday","Midnight to 2:59","Injury collisions",68,100,95,0
"January","2013","Saturday","3:00 to 5:59","Fatal collisions",1,1,1,1
"January","2013","Saturday","3:00 to 5:59","Injury collisions",47,68,59,0
"January","2013","Saturday","6:00 to 8:59","Fatal collisions",1,1,1,1
"January","2013","Saturday","6:00 to 8:59","Injury collisions",94,138,108,0
"January","2013","Saturday","9:00 to 11:59","Fatal collisions",0,0,0,0
"January","2013","Saturday","9:00 to 11:59","Injury collisions",190,325,272,0
"January","2013","Saturday","12:00 to 14:59","Fatal collisions",2,3,1,2
"January","2013","Saturday","12:00 to 14:59","Injury collisions",230,433,322,0
"January","2013","Saturday","15:00 to 17:59","Fatal collisions",1,2,4,1
"January","2013","Saturday","15:00 to 17:59","Injury collisions",252,453,350,0
"January","2013","Saturday","18:00 to 20:59","Fatal collisions",3,4,2,3
"January","2013","Saturday","18:00 to 20:59","Injury collisions",148,243,227,0
"January","2013","Saturday","21:00 to 23:59","Fatal collisions",1,2,0,1
"January","2013","Saturday","21:00 to 23:59","Injury collisions",92,143,129,0
"January","2013","Sunday","Midnight to 2:59","Fatal collisions",4,4,4,4
"January","2013","Sunday","Midnight to 2:59","Injury collisions",65,93,92,0
"January","2013","Sunday","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2013","Sunday","3:00 to 5:59","Injury collisions",51,77,68,0
"January","2013","Sunday","6:00 to 8:59","Fatal collisions",2,3,1,2
"January","2013","Sunday","6:00 to 8:59","Injury collisions",60,80,72,0
"January","2013","Sunday","9:00 to 11:59","Fatal collisions",3,5,5,3
"January","2013","Sunday","9:00 to 11:59","Injury collisions",140,239,197,0
"January","2013","Sunday","12:00 to 14:59","Fatal collisions",6,24,22,7
"January","2013","Sunday","12:00 to 14:59","Injury collisions",266,580,435,0
"January","2013","Sunday","15:00 to 17:59","Fatal collisions",2,2,1,2
"January","2013","Sunday","15:00 to 17:59","Injury collisions",250,479,360,0
"January","2013","Sunday","18:00 to 20:59","Fatal collisions",2,3,1,2
"January","2013","Sunday","18:00 to 20:59","Injury collisions",149,247,214,0
"January","2013","Sunday","21:00 to 23:59","Fatal collisions",0,0,0,0
"January","2013","Sunday","21:00 to 23:59","Injury collisions",75,116,117,0
"January","2013","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"January","2013","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"January","2013","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"January","2013","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"January","2013","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"January","2013","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"January","2013","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"January","2013","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"January","2013","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"January","2014","Total","Midnight to 2:59","Fatal collisions",8,16,7,8
"January","2014","Total","Midnight to 2:59","Injury collisions",346,510,453,0
"January","2014","Total","3:00 to 5:59","Fatal collisions",4,7,3,5
"January","2014","Total","3:00 to 5:59","Injury collisions",307,450,395,0
"January","2014","Total","6:00 to 8:59","Fatal collisions",12,21,13,12
"January","2014","Total","6:00 to 8:59","Injury collisions",1760,3212,2238,0
"January","2014","Total","9:00 to 11:59","Fatal collisions",22,43,27,25
"January","2014","Total","9:00 to 11:59","Injury collisions",1972,3694,2642,0
"January","2014","Total","12:00 to 14:59","Fatal collisions",22,41,28,23
"January","2014","Total","12:00 to 14:59","Injury collisions",2131,4023,2921,0
"January","2014","Total","15:00 to 17:59","Fatal collisions",13,25,22,16
"January","2014","Total","15:00 to 17:59","Injury collisions",2452,4560,3298,0
"January","2014","Total","18:00 to 20:59","Fatal collisions",25,44,30,28
"January","2014","Total","18:00 to 20:59","Injury collisions",1382,2396,1906,0
"January","2014","Total","21:00 to 23:59","Fatal collisions",7,9,3,7
"January","2014","Total","21:00 to 23:59","Injury collisions",652,1032,930,0
"January","2014","Monday","Midnight to 2:59","Fatal collisions",1,2,0,1
"January","2014","Monday","Midnight to 2:59","Injury collisions",38,60,52,0
"January","2014","Monday","3:00 to 5:59","Fatal collisions",1,1,0,1
"January","2014","Monday","3:00 to 5:59","Injury collisions",52,79,71,0
"January","2014","Monday","6:00 to 8:59","Fatal collisions",1,2,0,1
"January","2014","Monday","6:00 to 8:59","Injury collisions",321,602,425,0
"January","2014","Monday","9:00 to 11:59","Fatal collisions",2,8,1,2
"January","2014","Monday","9:00 to 11:59","Injury collisions",288,650,432,0
