
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"January","2012","Wednesday","3:00 to 5:59","Injury collisions",28,40,33,0
"January","2012","Wednesday","6:00 to 8:59","Fatal collisions",2,4,1,2
"January","2012","Wednesday","6:00 to 8:59","Injury collisions",227,409,273,0
"January","2012","Wednesday","9:00 to 11:59","Fatal collisions",3,4,1,3
"January","2012","Wednesday","9:00 to 11:59","Injury collisions",233,422,303,0
"January","2012","Wednesday","12:00 to 14:59","Fatal collisions",3,4,1,3
"January","2012","Wednesday","12:00 to 14:59","Injury collisions",272,505,368,0
"January","2012","Wednesday","15:00 to 17:59","Fatal collisions",3,4,1,3
"January","2012","Wednesday","15:00 to 17:59","Injury collisions",323,625,419,0
"January","2012","Wednesday","18:00 to 20:59","Fatal collisions",6,10,1,6
"January","2012","Wednesday","18:00 to 20:59","Injury collisions",185,310,250,0
"January","2012","Wednesday","21:00 to 23:59","Fatal collisions",2,4,2,2
"January","2012","Wednesday","21:00 to 23:59","Injury collisions",82,126,100,0
"January","2012","Thursday","Midnight to 2:59","Fatal collisions",1,1,0,1
"January","2012","Thursday","Midnight to 2:59","Injury collisions",44,65,58,0
"January","2012","Thursday","3:00 to 5:59","Fatal collisions",2,2,0,2
"January","2012","Thursday","3:00 to 5:59","Injury collisions",29,37,34,0
"January","2012","Thursday","6:00 to 8:59","Fatal collisions",5,9,7,6
"January","2012","Thursday","6:00 to 8:59","Injury collisions",232,419,279,0
"January","2012","Thursday","9:00 to 11:59","Fatal collisions",5,38,16,6
"January","2012","Thursday","9:00 to 11:59","Injury collisions",262,476,345,0
"January","2012","Thursday","12:00 to 14:59","Fatal collisions",1,2,0,1
"January","2012","Thursday","12:00 to 14:59","Injury collisions",314,587,430,0
"January","2012","Thursday","15:00 to 17:59","Fatal collisions",2,2,0,2
"January","2012","Thursday","15:00 to 17:59","Injury collisions",333,634,429,0
"January","2012","Thursday","18:00 to 20:59","Fatal collisions",5,7,3,5
"January","2012","Thursday","18:00 to 20:59","Injury collisions",207,358,273,0
"January","2012","Thursday","21:00 to 23:59","Fatal collisions",3,4,1,3
"January","2012","Thursday","21:00 to 23:59","Injury collisions",118,187,149,0
"January","2012","Friday","Midnight to 2:59","Fatal collisions",1,1,0,1
"January","2012","Friday","Midnight to 2:59","Injury collisions",43,62,58,0
"January","2012","Friday","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2012","Friday","3:00 to 5:59","Injury collisions",34,46,43,0
"January","2012","Friday","6:00 to 8:59","Fatal collisions",2,4,2,2
