
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"January","2013","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",2,2,0
"January","2013","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Urban","40 km per hour","Collisions with 0 pedestrians",186,241,0
"January","2013","Urban","40 km per hour","Collisions with 1 pedestrian",60,61,0
"January","2013","Urban","40 km per hour","Collisions with 2 pedestrians",4,6,0
"January","2013","Urban","40 km per hour","Collisions with 3 or more pedestrians",2,4,0
"January","2013","Urban","50 km per hour","Collisions with 0 pedestrians",3133,4290,15
"January","2013","Urban","50 km per hour","Collisions with 1 pedestrian",571,574,12
"January","2013","Urban","50 km per hour","Collisions with 2 pedestrians",26,37,1
"January","2013","Urban","50 km per hour","Collisions with 3 or more pedestrians",6,12,0
"January","2013","Urban","60 km per hour","Collisions with 0 pedestrians",1046,1455,2
"January","2013","Urban","60 km per hour","Collisions with 1 pedestrian",113,115,2
"January","2013","Urban","60 km per hour","Collisions with 2 pedestrians",7,12,0
"January","2013","Urban","60 km per hour","Collisions with 3 or more pedestrians",1,2,0
"January","2013","Urban","70 km per hour","Collisions with 0 pedestrians",242,343,3
"January","2013","Urban","70 km per hour","Collisions with 1 pedestrian",7,7,0
"January","2013","Urban","70 km per hour","Collisions with 2 pedestrians",1,2,0
"January","2013","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Urban","80 km per hour","Collisions with 0 pedestrians",110,144,0
"January","2013","Urban","80 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Urban","90 km per hour","Collisions with 0 pedestrians",66,89,0
"January","2013","Urban","90 km per hour","Collisions with 1 pedestrian",3,4,0
"January","2013","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Urban","100 km per hour","Collisions with 0 pedestrians",90,110,0
"January","2013","Urban","100 km per hour","Collisions with 1 pedestrian",3,6,0
"January","2013","Urban","100 km per hour","Collisions with 2 pedestrians",1,1,0
"January","2013","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Urban","110 km per hour","Collisions with 0 pedestrians",14,16,0
"January","2013","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Urban","Unknown","Collisions with 0 pedestrians",442,544,0
"January","2013","Urban","Unknown","Collisions with 1 pedestrian",85,85,1
"January","2013","Urban","Unknown","Collisions with 2 pedestrians",5,6,0
"January","2013","Urban","Unknown","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",7,11,1
"January","2013","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","40 km per hour","Collisions with 0 pedestrians",19,24,0
"January","2013","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","50 km per hour","Collisions with 0 pedestrians",138,181,2
"January","2013","Rural","50 km per hour","Collisions with 1 pedestrian",6,6,1
"January","2013","Rural","50 km per hour","Collisions with 2 pedestrians",1,1,1
"January","2013","Rural","50 km per hour","Collisions with 3 or more pedestrians",2,3,1
"January","2013","Rural","60 km per hour","Collisions with 0 pedestrians",52,78,1
"January","2013","Rural","60 km per hour","Collisions with 1 pedestrian",3,3,0
"January","2013","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","70 km per hour","Collisions with 0 pedestrians",252,378,2
"January","2013","Rural","70 km per hour","Collisions with 1 pedestrian",7,8,0
"January","2013","Rural","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","80 km per hour","Collisions with 0 pedestrians",726,1020,26
"January","2013","Rural","80 km per hour","Collisions with 1 pedestrian",12,12,2
"January","2013","Rural","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","90 km per hour","Collisions with 0 pedestrians",525,735,26
"January","2013","Rural","90 km per hour","Collisions with 1 pedestrian",4,6,1
"January","2013","Rural","90 km per hour","Collisions with 2 pedestrians",2,2,2
"January","2013","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","100 km per hour","Collisions with 0 pedestrians",819,1235,8
"January","2013","Rural","100 km per hour","Collisions with 1 pedestrian",8,15,1
"January","2013","Rural","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Rural","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"January","2013","Rural","110 km per hour","Collisions with 0 pedestrians",95,141,5
"January","2013","Rural","110 km per hour","Collisions with 1 pedestrian",2,4,1
"January","2013","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Rural","Unknown","Collisions with 0 pedestrians",86,104,1
"January","2013","Rural","Unknown","Collisions with 1 pedestrian",5,4,1
"January","2013","Rural","Unknown","Collisions with 2 pedestrians",4,8,0
"January","2013","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2013","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2013","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2013","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","50 km per hour","Collisions with 0 pedestrians",8,10,0
"January","2013","Unknown","50 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","60 km per hour","Collisions with 0 pedestrians",3,6,0
"January","2013","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","70 km per hour","Collisions with 0 pedestrians",1,1,0
"January","2013","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","80 km per hour","Collisions with 0 pedestrians",1,1,0
"January","2013","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","90 km per hour","Collisions with 0 pedestrians",6,10,0
"January","2013","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","100 km per hour","Collisions with 0 pedestrians",3,3,0
"January","2013","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","110 km per hour","Collisions with 0 pedestrians",1,1,0
"January","2013","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2013","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2013","Unknown","Unknown","Collisions with 0 pedestrians",10,17,0
"January","2013","Unknown","Unknown","Collisions with 1 pedestrian",8,8,0
"January","2013","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"January","2013","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",72,81,1
"January","2014","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",24,25,0
"January","2014","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2014","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",1,2,0
"January","2014","Urban","40 km per hour","Collisions with 0 pedestrians",192,243,1
"January","2014","Urban","40 km per hour","Collisions with 1 pedestrian",51,50,1
"January","2014","Urban","40 km per hour","Collisions with 2 pedestrians",7,11,0
"January","2014","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Urban","50 km per hour","Collisions with 0 pedestrians",3166,4307,6
"January","2014","Urban","50 km per hour","Collisions with 1 pedestrian",471,482,5
"January","2014","Urban","50 km per hour","Collisions with 2 pedestrians",30,43,0
"January","2014","Urban","50 km per hour","Collisions with 3 or more pedestrians",6,11,0
"January","2014","Urban","60 km per hour","Collisions with 0 pedestrians",1228,1736,7
"January","2014","Urban","60 km per hour","Collisions with 1 pedestrian",66,64,5
"January","2014","Urban","60 km per hour","Collisions with 2 pedestrians",3,6,0
"January","2014","Urban","60 km per hour","Collisions with 3 or more pedestrians",1,1,0
"January","2014","Urban","70 km per hour","Collisions with 0 pedestrians",251,326,0
"January","2014","Urban","70 km per hour","Collisions with 1 pedestrian",9,9,0
"January","2014","Urban","70 km per hour","Collisions with 2 pedestrians",1,1,0
"January","2014","Urban","70 km per hour","Collisions with 3 or more pedestrians",1,3,0
"January","2014","Urban","80 km per hour","Collisions with 0 pedestrians",134,169,0
"January","2014","Urban","80 km per hour","Collisions with 1 pedestrian",8,7,1
"January","2014","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2014","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Urban","90 km per hour","Collisions with 0 pedestrians",79,119,2
"January","2014","Urban","90 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2014","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2014","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Urban","100 km per hour","Collisions with 0 pedestrians",110,136,0
"January","2014","Urban","100 km per hour","Collisions with 1 pedestrian",1,2,0
"January","2014","Urban","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2014","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Urban","110 km per hour","Collisions with 0 pedestrians",10,14,0
"January","2014","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2014","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2014","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Urban","Unknown","Collisions with 0 pedestrians",450,559,1
"January","2014","Urban","Unknown","Collisions with 1 pedestrian",119,121,1
"January","2014","Urban","Unknown","Collisions with 2 pedestrians",6,9,0
"January","2014","Urban","Unknown","Collisions with 3 or more pedestrians",2,2,0
"January","2014","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",4,5,0
"January","2014","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2014","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2014","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Rural","40 km per hour","Collisions with 0 pedestrians",13,15,0
"January","2014","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2014","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2014","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2014","Rural","50 km per hour","Collisions with 0 pedestrians",133,173,1
